Threshold,Binary_Score,Multiclass_Score
0.01,0.9698991990986897,0.9272754823748449
0.03,0.9709938648898033,0.9262997109767922
0.049999999999999996,0.9717237335992938,0.9255184705814745
0.06999999999999999,0.9702640211390623,0.9274708996887333
0.08999999999999998,0.9703554450382131,0.928056436863339
0.10999999999999999,0.9706290428494305,0.9264947566118099
0.12999999999999998,0.9705378186202753,0.9274707281446392
0.14999999999999997,0.9708114663489917,0.9260063705758421
0.16999999999999998,0.9698081994982792,0.9272753680121156
0.18999999999999997,0.9697168754341262,0.9274704994191802
0.20999999999999996,0.9693519286000063,0.9275683939155597
0.22999999999999995,0.9711763383068632,0.9297161545646597
0.24999999999999997,0.9708114663489917,0.9253233677650922
0.26999999999999996,0.9701729716211531,0.9274706995539567
0.29,0.9713587618064244,0.9269827423782244
0.30999999999999994,0.9703553701619648,0.9284470427656567
0.32999999999999996,0.9691694052654475,0.9274708425073687
0.3499999999999999,0.9700817473919979,0.9270804653305098
0.36999999999999994,0.9707202421198365,0.9302041403310742
0.38999999999999996,0.9710851140777081,0.9266898308375097
0.4099999999999999,0.9692607043708511,0.9303015773765361
0.42999999999999994,0.9690782059950417,0.927177788013242
0.44999999999999996,0.9707201672435882,0.928837305579786
0.4699999999999999,0.9715411853059855,0.9282516540424508
0.48999999999999994,0.9700817224332484,0.9266898880188744
